date,time,latitude,longitude,crime_type,severity,location_name
2025-10-03,18:06,12.972984,77.612942,theft,medium,MG Road
2025-10-03,18:09,13.096992,77.599289,snatching,high,Yelahanka
2025-10-04,13:30,12.98406,77.613149,robbery,low,Commercial Street
2025-10-04,13:34,13.023712,77.537513,theft,high,Yeshwanthpur
2025-10-04,15:36,12.92639,77.675901,eve-teasing,medium,Bellandur
2025-10-04,17:35,12.926502,77.586538,burglary,medium,Jayanagar
2025-10-04,19:24,12.970092,77.528823,burglary,high,Vijayanagar
2025-10-05,09:52,12.970402,77.617035,theft,high,MG Road
2025-10-05,12:41,12.96454,77.573388,theft,medium,KR Market
2025-10-05,13:23,12.98328,77.603768,snatching,medium,Shivajinagar
2025-10-05,14:20,12.842986,77.659861,snatching,high,Electronic City
2025-10-05,15:47,12.984126,77.611616,vandalism,medium,Commercial Street
2025-10-05,16:15,12.964056,77.583549,theft,low,Chickpet
2025-10-05,20:14,12.911677,77.605511,theft,medium,BTM Layout
2025-10-05,20:38,12.972568,77.608054,assault,medium,Brigade Road
2025-10-05,22:25,13.025096,77.533898,theft,medium,Yeshwanthpur
2025-10-05,23:41,13.098777,77.598351,theft,medium,Yelahanka
2025-10-06,08:43,12.91774,77.643807,snatching,medium,Hosur Road
2025-10-06,10:25,12.977618,77.603597,snatching,high,Brigade Road
2025-10-06,10:35,12.846528,77.660443,snatching,medium,Electronic City
2025-10-06,10:50,12.963185,77.692683,theft,medium,Marathahalli
2025-10-06,11:17,12.996361,77.560622,snatching,medium,Rajajinagar
2025-10-06,18:44,12.969104,77.612109,burglary,low,Brigade Road
2025-10-06,20:31,12.965531,77.576368,snatching,medium,Chickpet
2025-10-06,20:57,12.909912,77.581322,snatching,medium,JP Nagar
2025-10-07,12:37,12.987107,77.556022,burglary,medium,Rajaji Nagar
2025-10-07,12:49,12.913869,77.638982,theft,high,Hosur Road
2025-10-07,14:09,12.926791,77.674279,snatching,high,Bellandur
2025-10-07,16:07,12.927079,77.67835,burglary,medium,Bellandur
2025-10-07,17:13,12.927776,77.679039,snatching,medium,Bellandur
2025-10-07,22:44,12.907023,77.58171,robbery,high,JP Nagar
2025-10-08,02:27,12.914001,77.647572,theft,low,HSR Layout
2025-10-08,16:39,12.931932,77.62332,theft,low,Koramangala
2025-10-08,19:12,12.846525,77.662802,snatching,medium,Electronic City
2025-10-08,21:59,12.982895,77.607768,snatching,high,Commercial Street
2025-10-09,07:10,12.966828,77.644057,snatching,low,Indiranagar
2025-10-09,07:13,13.024244,77.535921,eve-teasing,medium,Yeshwanthpur
2025-10-09,12:26,12.954713,77.698559,snatching,high,Marathahalli
2025-10-09,14:25,12.978463,77.614099,vandalism,low,Commercial Street
2025-10-09,14:31,12.969057,77.636918,theft,medium,Indiranagar
2025-10-09,18:00,12.8436,77.662966,theft,medium,Electronic City
2025-10-09,19:31,12.985771,77.605273,theft,medium,Commercial Street
2025-10-09,22:28,12.924614,77.579915,burglary,high,Jayanagar
2025-10-10,16:58,12.985788,77.61056,snatching,medium,Commercial Street
2025-10-10,19:01,12.930342,77.675174,vandalism,medium,Bellandur
2025-10-10,20:43,12.983473,77.603669,assault,high,Shivajinagar
2025-10-11,00:23,12.915936,77.639607,snatching,high,HSR Layout
2025-10-11,07:49,12.988534,77.560536,burglary,high,Rajaji Nagar
2025-10-11,16:56,12.907575,77.58075,assault,medium,JP Nagar
2025-10-11,18:32,12.925349,77.549608,assault,medium,Banashankari
2025-10-11,19:17,12.980603,77.573273,theft,medium,Majestic
2025-10-11,20:33,12.973649,77.531361,robbery,medium,Vijayanagar
2025-10-11,20:36,12.986966,77.602593,burglary,high,Shivajinagar
2025-10-11,20:36,12.923681,77.582462,snatching,high,Jayanagar
2025-10-12,06:55,12.919599,77.607794,assault,high,BTM Layout
2025-10-12,08:21,12.939818,77.629001,snatching,medium,Koramangala
2025-10-12,08:41,12.976147,77.61021,robbery,high,MG Road
2025-10-12,10:31,12.990399,77.603687,burglary,medium,Shivajinagar
2025-10-12,18:08,13.028385,77.540126,theft,high,Yeshwanthpur
2025-10-12,23:50,12.974423,77.747791,vandalism,medium,Whitefield
2025-10-13,11:18,12.96361,77.573443,fraud,low,KR Market
2025-10-13,14:33,12.963834,77.576098,theft,medium,Chickpet
2025-10-13,17:05,12.929105,77.549897,eve-teasing,medium,Banashankari
2025-10-13,20:13,12.972032,77.528534,vandalism,low,Vijayanagar
2025-10-13,21:27,12.84793,77.658139,theft,medium,Electronic City
2025-10-14,02:22,12.911812,77.638401,theft,low,Hosur Road
2025-10-14,15:00,12.970683,77.748841,theft,medium,Whitefield
2025-10-14,17:21,12.926103,77.587734,robbery,medium,Jayanagar
2025-10-14,19:58,13.097999,77.598031,vandalism,medium,Yelahanka
2025-10-14,20:26,12.978505,77.574641,assault,low,Majestic
2025-10-15,01:46,12.908559,77.642734,assault,high,HSR Layout
2025-10-15,06:59,12.974392,77.605488,theft,medium,Brigade Road
2025-10-15,10:27,12.971056,77.578771,vandalism,low,Chickpet
2025-10-15,12:06,12.959464,77.571178,vandalism,medium,KR Market
2025-10-15,19:06,12.964314,77.571392,theft,high,KR Market
2025-10-15,19:50,12.916777,77.649493,theft,low,HSR Layout
2025-10-15,19:50,12.99172,77.550874,snatching,medium,Rajajinagar
2025-10-15,21:10,12.96768,77.745312,snatching,low,Whitefield
2025-10-16,07:34,12.970645,77.74702,snatching,high,Whitefield
2025-10-16,12:13,12.965175,77.575882,theft,medium,KR Market
2025-10-16,16:22,12.906237,77.582362,burglary,high,JP Nagar
2025-10-16,16:36,12.97019,77.613558,burglary,high,MG Road
2025-10-16,17:00,12.977626,77.60991,eve-teasing,medium,Commercial Street
2025-10-16,18:17,12.97175,77.619174,assault,medium,MG Road
2025-10-16,18:55,12.930224,77.67404,burglary,low,Bellandur
2025-10-16,19:16,12.923349,77.578907,snatching,medium,Jayanagar
2025-10-16,20:19,12.955455,77.699718,snatching,high,Marathahalli
2025-10-16,20:25,12.96037,77.572345,eve-teasing,medium,KR Market
2025-10-16,21:38,12.961122,77.572171,assault,medium,KR Market
2025-10-17,03:03,12.93045,77.676885,fraud,low,Bellandur
2025-10-17,06:15,12.918718,77.643306,theft,medium,Hosur Road
2025-10-17,13:36,12.912156,77.610274,snatching,low,BTM Layout
2025-10-17,17:11,12.965873,77.57981,theft,high,Chickpet
2025-10-17,19:33,12.921846,77.550701,snatching,medium,Banashankari
2025-10-17,22:54,12.90696,77.581387,burglary,medium,JP Nagar
2025-10-18,05:33,13.003124,77.570641,fraud,medium,Malleshwaram
2025-10-18,11:34,12.958334,77.569018,theft,medium,KR Market
2025-10-18,16:13,12.978121,77.611909,theft,medium,MG Road
2025-10-18,17:47,12.971123,77.532269,snatching,high,Vijayanagar
2025-10-18,18:53,12.928585,77.585681,burglary,high,Jayanagar
2025-10-18,19:38,12.929562,77.674357,theft,low,Bellandur
2025-10-18,19:42,12.891474,77.601211,robbery,medium,Bannerghatta Road
2025-10-18,20:17,12.972965,77.534295,burglary,low,Vijayanagar
2025-10-18,21:30,12.96159,77.577445,eve-teasing,high,Chickpet
2025-10-19,08:10,12.936058,77.62499,assault,medium,Koramangala
2025-10-19,11:54,12.992187,77.556942,vandalism,low,Rajaji Nagar
2025-10-19,13:32,12.970286,77.746378,vandalism,low,Whitefield
2025-10-19,13:56,12.937421,77.626727,snatching,medium,Koramangala
2025-10-19,15:57,12.912786,77.639564,eve-teasing,high,Hosur Road
2025-10-19,19:08,12.99366,77.558623,snatching,high,Rajaji Nagar
2025-10-19,20:34,12.964319,77.57165,theft,high,KR Market
2025-10-20,07:00,12.988936,77.602248,snatching,high,Shivajinagar
2025-10-20,17:58,12.908934,77.589003,theft,medium,JP Nagar
2025-10-20,18:24,13.029914,77.541408,eve-teasing,medium,Yeshwanthpur
2025-10-20,23:18,13.103317,77.598509,theft,medium,Yelahanka
2025-10-21,06:54,12.96461,77.571258,snatching,medium,KR Market
2025-10-21,08:53,12.995536,77.551177,theft,high,Rajaji Nagar
2025-10-21,09:27,12.968628,77.749025,fraud,medium,Whitefield
2025-10-21,15:38,12.972683,77.568885,theft,medium,Majestic
2025-10-21,19:34,12.993829,77.559788,theft,high,Rajaji Nagar
2025-10-21,19:58,12.978335,77.569455,burglary,high,Majestic
2025-10-22,09:43,12.919838,77.612557,assault,medium,BTM Layout
2025-10-22,11:41,12.975233,77.607372,snatching,low,Brigade Road
2025-10-22,14:23,12.843655,77.657493,snatching,high,Electronic City
2025-10-22,18:00,12.925778,77.550261,snatching,low,Banashankari
2025-10-22,20:10,12.971973,77.644382,theft,medium,Indiranagar
2025-10-22,22:31,12.933248,77.627948,eve-teasing,low,Koramangala
2025-10-22,23:28,12.973239,77.525583,theft,medium,Vijayanagar
2025-10-22,23:53,12.972037,77.611984,eve-teasing,low,MG Road
2025-10-23,07:38,12.970347,77.640816,theft,medium,Indiranagar
2025-10-23,15:32,12.98686,77.557616,vandalism,medium,Rajaji Nagar
2025-10-23,18:44,12.996468,77.557571,assault,medium,Rajaji Nagar
2025-10-23,19:22,12.975225,77.57396,theft,medium,Majestic
2025-10-23,21:20,12.969385,77.527682,theft,high,Vijayanagar
2025-10-23,21:21,12.844083,77.663049,eve-teasing,medium,Electronic City
2025-10-23,22:42,13.100955,77.5933,eve-teasing,medium,Yelahanka
2025-10-24,09:55,12.973938,77.611028,theft,low,MG Road
2025-10-24,17:02,12.972471,77.749032,theft,medium,Whitefield
2025-10-24,20:20,12.991114,77.554486,assault,low,Rajajinagar
2025-10-25,00:20,13.025534,77.538253,snatching,high,Yeshwanthpur
2025-10-25,05:35,12.976533,77.642458,theft,medium,Indiranagar
2025-10-25,17:04,12.889341,77.603669,theft,high,Bannerghatta Road
2025-10-25,18:01,12.910484,77.639342,theft,medium,Hosur Road
2025-10-25,19:46,12.977488,77.606921,snatching,low,Commercial Street
2025-10-25,19:59,12.91986,77.614757,theft,medium,BTM Layout
2025-10-25,21:05,12.965606,77.577445,assault,low,KR Market
2025-10-26,05:31,13.105278,77.59475,snatching,low,Yelahanka
2025-10-26,09:20,12.931465,77.628802,burglary,high,Koramangala
2025-10-26,20:25,12.935365,77.627948,eve-teasing,medium,Koramangala
2025-10-26,20:27,12.986766,77.552466,theft,medium,Rajaji Nagar
2025-10-27,09:03,12.960103,77.694277,assault,medium,Marathahalli
2025-10-27,14:40,12.958658,77.574635,theft,medium,KR Market
2025-10-27,18:06,12.926205,77.674283,burglary,low,Bellandur
2025-10-27,18:26,12.895535,77.608243,theft,medium,Bannerghatta Road
2025-10-27,19:20,12.993545,77.559962,burglary,medium,Rajaji Nagar
2025-10-27,20:11,12.917625,77.637116,snatching,medium,Hosur Road
2025-10-27,22:18,12.970117,77.611991,theft,medium,MG Road
2025-10-28,03:58,12.844514,77.661555,vandalism,low,Electronic City
2025-10-28,18:10,12.913369,77.644085,vandalism,medium,HSR Layout
2025-10-28,19:43,13.103306,77.595596,theft,high,Yelahanka
2025-10-28,21:49,13.006702,77.571297,fraud,low,Malleshwaram
2025-10-28,22:16,12.92888,77.552051,robbery,high,Banashankari
2025-10-29,16:14,12.969799,77.57773,theft,low,Chickpet
2025-10-30,06:14,13.099852,77.595379,assault,high,Yelahanka
2025-10-30,07:34,12.916224,77.649323,snatching,high,HSR Layout
2025-10-30,11:45,12.91466,77.638617,theft,medium,Hosur Road
2025-10-30,12:57,12.848083,77.656797,snatching,medium,Electronic City
2025-10-30,18:12,12.968524,77.640319,robbery,high,Indiranagar
2025-10-30,19:14,12.914209,77.605683,snatching,medium,BTM Layout
2025-10-30,20:28,12.923714,77.546159,theft,medium,Banashankari
2025-10-30,22:39,12.927522,77.579987,assault,medium,Jayanagar
2025-10-31,09:49,12.934757,77.621043,fraud,medium,Koramangala
2025-10-31,13:40,12.969272,77.751881,snatching,high,Whitefield
2025-10-31,19:54,12.916446,77.645651,snatching,high,HSR Layout
2025-10-31,19:59,13.028654,77.540755,robbery,high,Yeshwanthpur
2025-11-01,06:34,13.005361,77.568812,theft,low,Malleshwaram
2025-11-01,10:06,12.983327,77.598489,burglary,medium,Shivajinagar
2025-11-01,16:06,12.967319,77.578173,vandalism,low,Chickpet
2025-11-01,20:05,12.987884,77.59972,snatching,medium,Shivajinagar
2025-11-01,21:34,13.004748,77.570642,vandalism,medium,Malleshwaram
2025-11-02,06:07,12.990796,77.559286,theft,medium,Rajaji Nagar
2025-11-02,10:46,12.936344,77.623687,burglary,low,Koramangala
2025-11-02,11:33,12.912647,77.636748,theft,medium,Hosur Road
2025-11-02,22:28,12.926654,77.549444,theft,medium,Banashankari
2025-11-03,17:59,12.924213,77.58864,vandalism,low,Jayanagar
2025-11-03,19:28,12.843208,77.663669,theft,medium,Electronic City
2025-11-03,21:02,12.98461,77.602329,theft,medium,Shivajinagar
2025-11-03,21:43,13.002594,77.568847,theft,high,Malleshwaram
2025-11-04,03:22,13.024838,77.538919,snatching,high,Yeshwanthpur
2025-11-04,09:53,12.974489,77.605671,theft,low,Brigade Road
2025-11-04,14:07,12.927563,77.579702,robbery,high,Jayanagar
2025-11-04,18:05,12.890316,77.602856,snatching,high,Bannerghatta Road
2025-11-04,18:32,12.978182,77.611727,snatching,high,MG Road
2025-11-04,19:28,12.969832,77.616522,snatching,high,MG Road
2025-11-04,22:55,12.888119,77.599114,theft,low,Bannerghatta Road
2025-11-05,03:14,12.915619,77.643022,burglary,medium,Hosur Road
2025-11-05,12:32,12.922826,77.583356,snatching,high,Jayanagar
2025-11-05,14:57,12.914331,77.643831,burglary,medium,Hosur Road
2025-11-05,16:05,13.099568,77.593114,snatching,low,Yelahanka
2025-11-05,18:33,12.917871,77.641603,snatching,low,Hosur Road
2025-11-05,18:58,13.006956,77.573136,fraud,high,Malleshwaram
2025-11-05,20:30,12.983464,77.61304,theft,medium,Commercial Street
2025-11-05,21:35,13.008703,77.573354,burglary,medium,Malleshwaram
2025-11-06,04:06,12.990361,77.552692,theft,medium,Rajajinagar
2025-11-06,12:44,12.979233,77.567536,robbery,high,Majestic
2025-11-06,20:58,12.968383,77.532818,theft,low,Vijayanagar
2025-11-07,11:59,12.971088,77.606133,theft,medium,Brigade Road
2025-11-07,17:57,12.90974,77.640928,burglary,high,Hosur Road
2025-11-07,19:44,12.970084,77.580522,assault,medium,Chickpet
2025-11-07,21:21,12.956478,77.696149,vandalism,high,Marathahalli
2025-11-08,03:58,13.096466,77.593784,burglary,medium,Yelahanka
2025-11-08,06:04,13.100542,77.600149,burglary,medium,Yelahanka
2025-11-08,12:41,12.972191,77.618232,robbery,high,MG Road
2025-11-08,18:06,12.962043,77.692505,theft,medium,Marathahalli
2025-11-08,21:23,12.926132,77.583024,theft,low,Jayanagar
2025-11-09,13:43,13.101503,77.595332,assault,medium,Yelahanka
2025-11-09,15:53,12.991887,77.557458,assault,low,Rajaji Nagar
2025-11-09,17:11,12.968524,77.583842,theft,medium,Chickpet
2025-11-09,19:33,12.973548,77.749555,theft,medium,Whitefield
2025-11-09,21:25,12.84452,77.65877,fraud,low,Electronic City
2025-11-09,22:55,12.974302,77.641029,theft,medium,Indiranagar
2025-11-10,10:12,12.957386,77.573993,snatching,medium,KR Market
2025-11-10,10:49,12.891214,77.601654,theft,medium,Bannerghatta Road
2025-11-10,12:48,13.097501,77.59966,snatching,high,Yelahanka
2025-11-10,15:32,12.909641,77.643547,theft,high,HSR Layout
2025-11-10,18:18,12.911986,77.637204,theft,high,Hosur Road
2025-11-10,19:11,12.920064,77.587085,snatching,high,Jayanagar
2025-11-10,19:24,12.993334,77.560388,theft,low,Rajaji Nagar
2025-11-11,00:05,12.971994,77.611763,theft,low,Brigade Road
2025-11-11,03:23,12.935951,77.622015,burglary,medium,Koramangala
2025-11-11,04:02,12.907614,77.582562,theft,low,JP Nagar
2025-11-11,06:51,12.928905,77.671604,theft,medium,Bellandur
2025-11-11,19:52,12.923276,77.550358,theft,high,Banashankari
2025-11-11,22:20,12.907745,77.58305,robbery,medium,JP Nagar
2025-11-12,05:30,12.988169,77.559174,vandalism,medium,Rajajinagar
2025-11-12,08:49,13.008555,77.574488,theft,low,Malleshwaram
2025-11-12,18:03,12.919603,77.614653,theft,medium,BTM Layout
2025-11-12,18:25,12.938721,77.62184,snatching,low,Koramangala
2025-11-13,00:49,13.103626,77.595492,snatching,high,Yelahanka
2025-11-13,10:47,12.9758,77.616395,fraud,medium,MG Road
2025-11-13,11:06,12.959059,77.575984,assault,low,KR Market
2025-11-13,18:13,12.991677,77.557946,burglary,medium,Rajaji Nagar
2025-11-13,19:01,13.098838,77.593742,vandalism,medium,Yelahanka
2025-11-13,21:23,12.927982,77.544376,fraud,low,Banashankari
2025-11-14,10:39,12.961411,77.580809,burglary,low,Chickpet
2025-11-14,12:25,12.960419,77.576192,theft,medium,KR Market
2025-11-14,13:55,13.031518,77.53809,snatching,low,Yeshwanthpur
2025-11-14,15:42,12.963867,77.57198,theft,medium,KR Market
2025-11-14,18:19,12.964088,77.572313,snatching,medium,KR Market
2025-11-14,19:23,12.909722,77.640743,theft,medium,Hosur Road
2025-11-14,21:00,12.966983,77.6456,vandalism,low,Indiranagar
2025-11-15,09:15,12.961772,77.579124,theft,low,Chickpet
2025-11-15,14:50,12.961713,77.579481,theft,low,Chickpet
2025-11-15,15:52,13.023761,77.541173,fraud,medium,Yeshwanthpur
2025-11-15,17:09,12.914667,77.647133,theft,medium,HSR Layout
2025-11-15,21:09,12.97021,77.613191,vandalism,medium,Brigade Road
2025-11-15,21:17,12.907292,77.582016,theft,high,JP Nagar
2025-11-16,03:36,12.962542,77.581867,burglary,high,Chickpet
2025-11-16,15:25,12.98247,77.60681,theft,high,Commercial Street
2025-11-16,18:15,12.975499,77.612858,theft,high,MG Road
2025-11-16,19:32,12.971647,77.526378,assault,high,Vijayanagar
2025-11-16,19:35,12.981616,77.570064,robbery,high,Majestic
2025-11-16,20:00,12.916404,77.646878,burglary,high,HSR Layout
2025-11-16,20:37,12.954718,77.697348,snatching,medium,Marathahalli
2025-11-16,20:41,12.973185,77.610041,vandalism,low,Brigade Road
